書名	総合評価	戦法	著者	発行年月	難易度
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6276-0.htm"",""マイナビ将棋BOOKS 超攻撃的振り飛車 新生・角頭歩戦法"")"	A	居飛車, 振り飛車		2017年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7421-3.htm"",""マイナビ将棋BOOKS 1冊でわかる ノーマル振り飛車 基礎から流行形まで"")"	A+	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2020年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/594/978-4-594-08630-5.htm"",""将棋「初段になれるかな」大会議"")"	B	四間飛車, 振り飛車, 居飛車, 中飛車		2020年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7414-5.htm"",""マイナビ将棋BOOKS 急戦矢倉でガンガン行こう！後手から攻める3つの作戦"")"	急戦矢倉入門として	四間飛車, 中飛車		2020年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7413-8.htm"",""マイナビ将棋BOOKS 固めてドカン！対四間飛車 ミレニアム＆トーチカ戦法"")"	B	四間飛車, 振り飛車, 居飛車, 三間飛車		2020年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7453-4.htm"",""マイナビムック将棋世界Special愛蔵版 高校生二冠 藤井聡太 ─完全収録！第61期王位戦、第91期ヒューリック杯棋聖戦─"")"	A	角換わり		2020年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7454-1.htm"",""マイナビムック将棋世界Special【写真集】 写真で追う 藤井聡太 最年少二冠までの軌跡"")"	B			2020年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-051-9.htm"",""横歩取り勇気流"")"	S	居飛車, 角換わり, 横歩取り		2020年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7366-7.htm"",""マイナビ将棋BOOKS AI時代の新手法！対振り飛車 金無双急戦"")"	A	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2020年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7339-1.htm"",""マイナビ将棋BOOKS 緩急自在！新型相掛かりの戦い方 「飛車先交換、三つの得あり」に満足せず、交換保留で“四つ目の得”を求めた相掛かり！"")"	A	居飛車, 角換わり, 横歩取り		2020年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7308-7.htm"",""マイナビ将棋BOOKS とっておきのエルモ"")"	A	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2020年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7354-4.htm"",""マイナビ将棋BOOKS 振り飛車を一刀両断！右四間飛車エルモ囲い"")"	A	四間飛車, 居飛車, 振り飛車, 三間飛車		2020年6月	
