書名	総合評価	戦法	著者	発行年月	難易度
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-2588-8.htm"",""マイコミ将棋文庫SP 1から始める詰将棋"")"	A		週刊将棋	2007年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/381/978-4-381-02291-2.htm"",""佐藤康光の居飛車の手筋(2) 強襲・矢倉編 3七銀戦法から対右四間飛車まで、緩急自在の佐藤流"")"	A	四間飛車, 振り飛車, 居飛車		2007年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1290-4.htm"",""電車の中で解く 二段次の一手"")"	C		週刊将棋	2003年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-2123-7.htm"",""ひらめき次の一手 初段編"")"	C		週刊将棋 【監 修】 山崎隆之	2006年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0837-0.htm"",""中級必修 次の一手105"")"	D		週刊将棋	2002年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-524-4.htm"",""週将ブックスオレンジシリーズ(16) 相振り飛車にツヨくなれ この一冊でパーフェクト"")"	B	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		1988年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-2552-9.htm"",""週将ブックス 裏定跡の決め手"")"	B	四間飛車, 振り飛車, 居飛車	週刊将棋	2007年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/06/4-06-211633-2.htm"",""島ノート 振り飛車編"")"	S	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2002年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-2551-2.htm"",""3手1組プロの技"")"	B			2007年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75109-2.htm"",""スーパー将棋講座 最新矢倉戦法 徹底研究▲3七銀戦法"")"	A	振り飛車, 居飛車		2007年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-018-2.htm"",""最強将棋21 相振り飛車を指しこなす本(2)"")"	B	振り飛車, 三間飛車		2007年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0165-7.htm"",""ラクラク次の一手(2) 基本手筋集"")"	B	横歩取り	日本将棋連盟書籍	2003年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/381/978-4-381-02275-2.htm"",""佐藤康光の居飛車の手筋(1) 四間飛車粉砕編 急戦から居飛車穴熊まで、緩急自在の佐藤流"")"	B	四間飛車, 居飛車		2007年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/04/978-4-04-710107-4.htm"",""角川ワンテーマ21 ボナンザVS勝負脳 ―最強将棋ソフトは人間を超えるか"")"	B			2007年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0078-7.htm"",""振り飛車新世紀(5) 鈴木流相振り飛車"")"	B	振り飛車, 三間飛車		1998年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0359-5.htm"",""パーフェクトシリーズ 続・〔定跡〕相振り飛車 囲い方別、最新最強の攻防を徹底解説！！"")"	C	振り飛車		1999年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/415/4-415-04619-3.htm"",""早指し将棋の指し方"")"	C	角換わり, 振り飛車		1980年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/415/4-415-08666-7.htm"",""新しい詰将棋 一級・二級・三級 三手詰から九手詰に挑む"")"	C			1998年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0076/0076-0210-7432.htm"",""将棋パズル 脳ミソをシェイプ・アップする本"")"	?			1981年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1235-1.htm"",""プロの将棋シリーズ(5) 小倉流向かい飛車の極意"")"	C	振り飛車, 居飛車, 三間飛車		2003年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75120-7.htm"",""パワーアップシリーズ 3手・5手詰将棋"")"	B			2007年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/643/978-4-643-07003-3.htm"",""第十九期竜王決定七番勝負 激闘譜 渡辺明 VS 佐藤康光"")"	C	角換わり, 中飛車	読売新聞社	2007年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/978-4-8197-0172-3.htm"",""5級からの詰将棋81"")"	C			2007年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-2182-2.htm"",""振り飛車の真髄(2) 石田流の極意 〜先手番の最強戦法"")"	B	居飛車, 振り飛車, 四間飛車, 三間飛車		2006年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0464-2.htm"",""高田流新戦略３手目７八金"")"	B	四間飛車, 中飛車, 居飛車, 角換わり, 横歩取り, 振り飛車		2002年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/569/978-4-569-65917-6.htm"",""図解 羽生善治の頭脳強化ドリル 直感力、集中力、決断力、構想力を鍛える"")"	B			2007年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/381/978-4-381-02261-5.htm"",""森信雄の勝ちにいく！詰将棋ドリル(3) 三手詰めよりやさしい！簡単五手詰め"")"	A			2007年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0352-8.htm"",""日将ブックス 升田式石田流 最新の振飛車戦法を詳細解説"")"	B	三間飛車		1973年	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1640-3.htm"",""東大将棋ブックス 石田流道場"")"	B	居飛車, 振り飛車, 三間飛車		2004年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75097-6.htm"",""スーパー将棋講座 決定版 石田流新定跡"")"	B	振り飛車, 居飛車, 三間飛車		2005年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-017-5.htm"",""相振り飛車を指しこなす本(1)"")"	A	居飛車, 振り飛車, 四間飛車, 三間飛車		2007年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/4-86137-007-8.htm"",""最強将棋21 四間飛車の急所(4) 最強の4一金型"")"	A	四間飛車, 振り飛車		2005年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0076/0076-100105-0316.htm"",""親と子の詰め方と詰め将棋教室"")"	C			1980年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/4-262-10132-0.htm"",""超実戦 駒を取る詰将棋 敵の駒を使ってトドメに使う新しい型の詰将棋"")"	B			2006年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/4-86137-004-3.htm"",""最強将棋21 四間飛車の急所(2) 急戦大全【上】"")"	A	四間飛車, 居飛車, 振り飛車		2004年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-016-8.htm"",""最強将棋21 最新戦法の話"")"	S	四間飛車, 中飛車, 角換わり, 横歩取り, 振り飛車		2007年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75119-1.htm"",""パワーアップシリーズ 1手・3手必至問題"")"	A			2007年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0384-6.htm"",""パワーアップシリーズ 読むだけで強くなる 終盤のコツ130 実戦でよく現れる寄せ手筋集！"")"	A			2006年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/978-4-8197-0385-7.htm"",""羽生の法則 Volume 6 仕掛け"")"	C	四間飛車, 居飛車, 角換わり, 横歩取り, 三間飛車, 振り飛車		2007年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-2013-3.htm"",""将棋定跡最先端 振り飛車編"")"	B	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2006年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75106-9.htm"",""スーパー将棋講座 いまさら聞けない将棋Q&A"")"	A	四間飛車, 中飛車, 居飛車, 横歩取り, 三間飛車, 振り飛車		2006年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-025-0.htm"",""王将ブックス ポケット版 ─振飛車シリーズ�X 袖飛車戦法"")"	B	四間飛車, 中飛車		1975年?	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-083-8.htm"",""王将ブックス ポケット版 ─実戦振飛車シリーズ�W 型破り振飛車の急所"")"	C	四間飛車, 中飛車, 三間飛車		1975年10月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-081-1.htm"",""王将ブックス ポケット版 ─実戦振飛車シリーズ�U 攻める振飛車の急所"")"	B	角換わり, 中飛車		1974年2月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/978-4-8197-0171-6.htm"",""3手詰ハンドブック(2)"")"	B			2007年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-509-0.htm"",""週将ブックスグリーンシリーズ(2) 将棋ウンチク漫画 ダイナミック一手指南"")"	C			1986年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8458/4-8458-3208-9.htm"",""勝者の常識 将棋力 一日五分でカンタン初段"")"	C		石橋幸緒	2006年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1746-9.htm"",""相振り革命 3"")"	S	四間飛車, 中飛車, 居飛車, 横歩取り, 三間飛車, 振り飛車		2005年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0059-6.htm"",""激闘シリーズ第3弾！ 力戦！相振飛車の戦い"")"	A	居飛車	日本将棋連盟書籍編集部	1983年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0396-4.htm"",""新相振り革命"")"	A	居飛車, 振り飛車, 三間飛車		2000年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/537/4-537-01577-2.htm"",""一人で楽しめる詰将棋100題 超短編の三手詰から奇手・妙手の九手詰まで"")"	B			1992年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/06/4-06-103823-0.htm"",""コミックノベルス(23) 殺人の棋譜"")"	B			1985年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/309/4-309-72273-3.htm"",""先崎式将棋レクチャー＆トーク ホントに勝てる穴熊"")"	A	四間飛車, 振り飛車, 居飛車		2003年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0016-7.htm"",""実力倍増特訓コース"")"	C		週刊将棋	1998年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-598-8.htm"",""王手！将棋戦国絵巻"")"	-			1994年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/87520/4-87520-127-3.htm"",""実用文庫 ハウツウ詰将棋"")"	A			1984年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75089-5.htm"",""将 将棋必勝シリーズ 杉本流四間飛車の定跡 居飛車の右四間飛車・▲4五歩早仕掛けを粉砕"")"	A	四間飛車, 振り飛車, 居飛車, 中飛車		2003年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0361-7.htm"",""実戦教室 攻める振り飛車 四間飛車穴熊&力戦振り飛車"")"	C	四間飛車, 中飛車, 居飛車, 振り飛車		2000年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0015-9.htm"",""実力向上特訓コース"")"	C		週刊将棋	1998年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-628-3.htm"",""新スーパー四間飛車�U"")"	A	四間飛車, 居飛車		1995年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-604-6.htm"",""新スーパー四間飛車�T"")"	A	四間飛車, 居飛車		1994年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/309/4-309-72272-5.htm"",""先崎式将棋レクチャー＆トーク ホントに勝てる振り飛車"")"	A	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2003年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0000-0.htm"",""右脳パズル 次の一手"")"	B			1998年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/14/4-14-016145-0.htm"",""NHK将棋シリーズ 屋敷伸之の囲いの崩し方"")"	C	居飛車, 振り飛車		2006年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75107-7.htm"",""スーパー将棋講座 不思議流 受けのヒント"")"	B			2006年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/4-86137-010-8.htm"",""最強将棋21 四間飛車破り【居飛車穴熊編】"")"	S	四間飛車, 振り飛車, 居飛車		2005年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/381/4-381-08610-4.htm"",""秘伝 将棋無双 詰将棋の聖典「詰むや詰まざるや」に挑戦！"")"	A		門脇芳雄	2006年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/321/4-321-25201-6.htm"",""将棋の初歩から初段まで"")"	B	四間飛車, 中飛車, 居飛車, 横歩取り, 三間飛車, 振り飛車		1975年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/12/4-12-101869-9.htm"",""中公新書 1869 カラー版 将棋駒の世界"")"	A			2006年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/4-86137-013-2.htm"",""最強将棋21 羽生善治の終盤術(3) 堅さをくずす本"")"	A			2006年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0383-8.htm"",""羽生の法則 Volume 5 玉の囲い方"")"	C	四間飛車, 居飛車, 角換わり, 横歩取り, 振り飛車		2006年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/08/4-08-876830-2.htm"",""ヤングジャンプコミックス 外道棋記 ─真剣師 小池重明─(1)"")"	D			2005年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/253/4-253-18377-8.htm"",""チャンピオンJACKコミックス くすぶりの龍"")"	D			1996年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/4-86137-012-4.htm"",""最強将棋21 羽生善治の終盤術(2) 基本だけでここまで出来る"")"	A			2006年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/4-86137-011-6.htm"",""最強将棋21 羽生善治の終盤術(1) 攻めをつなぐ本"")"	S			2005年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/4-86137-014-0.htm"",""最強将棋21 最前線物語(2)"")"		四間飛車, 居飛車, 振り飛車, 角換わり, 横歩取り, 三間飛車, 中飛車		2006年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/4-86137-000-0.htm"",""最強将棋21 #01 最前線物語"")"		四間飛車, 居飛車, 振り飛車, 角換わり, 横歩取り, 中飛車		2003年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/309/4-309-72182-6.htm"",""最強将棋塾 これが最前線だ！ 【最新定跡完全ガイド】"")"	S	四間飛車, 中飛車, 居飛車, 角換わり, 横歩取り, 三間飛車, 振り飛車		1999年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75085-2.htm"",""将棋必勝シリーズ ひねり飛車戦法 攻めて攻めて攻めまくれ！"")"	B			2003年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75105-0.htm"",""スーパー将棋講座 振り飛車基本戦法 上達したい人の教科書！"")"	B	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2006年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75090-9.htm"",""将棋必勝シリーズ 三間飛車戦法 軽快、豪快、一気に寄せ切る"")"	A	振り飛車, 居飛車, 三間飛車		2004年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75086-0.htm"",""将棋必勝シリーズ 初段に勝つ矢倉戦法"")"	A	中飛車		2003年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75083-6.htm"",""将棋必勝シリーズ 中飛車戦法 居飛車穴熊を撃退する！"")"	A	居飛車, 振り飛車, 中飛車, 四間飛車		2002年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75103-4.htm"",""将棋必勝シリーズ なんでも矢倉"")"	B	四間飛車, 居飛車, 振り飛車		2004年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75096-8.htm"",""スーパー将棋講座 相居飛車の定跡"")"	C	居飛車		2004年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75093-3.htm"",""将棋終盤力養成講座(3) 次の一手問題集 攻めか受けか 寄せの判断力を養う"")"	B			2002年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75087-9.htm"",""将棋必勝シリーズ 四間飛車で居飛車穴熊退治"")"	B	四間飛車, 振り飛車, 居飛車		2003年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75091-7.htm"",""将棋終盤力養成講座(1) 終盤の手筋 詰み・詰めろ・必至・囲いの攻略・ 受けの基本テクニックを学ぶ"")"	A			2002年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75076-3.htm"",""将棋必勝シリーズ 明快 四間飛車戦法 急戦・持久戦もらくらくさばける"")"	B	四間飛車, 振り飛車, 居飛車		2001年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0170-3.htm"",""詰めと必至ハンドブック"")"	A			2006年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/391/4-391-12041-0.htm"",""森内優駿流棋本ブックス 筋違い角と相振り飛車 ライバルに勝つ（秘）作戦"")"	B	四間飛車, 居飛車, 角換わり, 三間飛車, 振り飛車	森内俊之	1997年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75082-8.htm"",""将棋必勝シリーズ 相振り飛車の定跡"")"	C	四間飛車, 中飛車, 振り飛車, 三間飛車		2002年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/88692/4-88692-477-8.htm"",""将棋界が分かる本 棋界のしくみ・不思議が分かるガイドブック"")"	B			1995年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75098-4.htm"",""スーパー将棋講座 振り飛車破りユニーク戦法 独特の急戦7戦法で振り飛車を撃破！"")"	B	四間飛車, 振り飛車, 三間飛車		2005年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/381/4-381-00068-4.htm"",""マンツーマンブックス 将棋奇襲(2) 新鬼殺し戦法"")"	B	居飛車		1974年	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/643/4-643-06003-4.htm"",""第十八期竜王決定七番勝負 激闘譜 渡辺明 VS 木村一基"")"	D	角換わり, 横歩取り	読売新聞社	2006年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/2276/2276-8103-5892.htm"",""日将ブックス 将棋必勝手筋100 初級者が強くなる決定版"")"	B			1972年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-555-4.htm"",""おもしろゲーム将棋 異次元で遊べ！"")"	A		週刊将棋	1991年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/14/4-14-016139-6.htm"",""NHK将棋シリーズ 清水市代の将棋トレーニング"")"	B	角換わり, 中飛車		2006年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0276/0276-500693-7904.htm"",""中原の一問一答99題"")"	B			1981年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/396/4-396-11033-2.htm"",""祥伝社新書(033) 囲碁・将棋100の金言"")"	C			2006年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/7743/4-7743-0877-3.htm"",""スグわかる！まんが将棋入門 ルールと戦法完全マスター"")"	A			2006年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/380/4-380-95288-6.htm"",""三一将棋シリーズ 天才たちの名手 将棋史を変えた次の一手"")"	C			1995年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-560-0.htm"",""週将ブックス 四間飛車の基礎演習"")"	C	四間飛車, 振り飛車	週刊将棋	1992年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/381/4-381-08589-2.htm"",""森信雄の勝ちにいく！詰将棋ドリル(2) 一手詰め・一手必至"")"	A			2005年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0333-1.htm"",""Perfect Series 四間飛車で勝とう！ やさしい駒組み、軽快なさばき。"")"	C	四間飛車, 中飛車, 居飛車, 振り飛車		1997年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0400-1.htm"",""将棋ワークブック 将棋を覚える人のためのやさしい詰みと必至"")"	B			1993年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89776/4-89776-029-1.htm"",""プロ将棋 ワンポイント講座"")"	C			1987年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-054-4.htm"",""王将ブックス ポケット版―駒落ちシリーズ�W 角落ち必勝法"")"	B	中飛車, 三間飛車		1967年	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8033/4-8033-0915-9.htm"",""将棋盤外情報 将棋がますますおもしろくなる73の奥義"")"	C			1985年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8033/4-8033-0837-3.htm"",""将棋狂に捧げる本"")"	C			1984年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0336-6.htm"",""パーフェクトシリーズ 将棋基本戦法 居飛車編"")"	B	中飛車, 居飛車, 角換わり, 横歩取り, 振り飛車		1997年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0231-9.htm"",""棋士 瀬川晶司 ─61年ぶりのプロ棋士編入試験に合格した男"")"	B			2006年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1823-6.htm"",""阿部隆の大局観 良い手悪い手普通の手"")"	B	四間飛車, 居飛車, 横歩取り, 三間飛車, 振り飛車		2005年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1948-8.htm"",""将棋定跡最先端 居飛車編"")"	B	角換わり, 振り飛車, 居飛車, 横歩取り		2005年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1698-5.htm"",""鷺宮定跡 〜歴史と最先端"")"	B	四間飛車, 振り飛車, 居飛車		2005年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0207-6.htm"",""新・鷺宮定跡 対振り飛車急戦法の最新版"")"	A	四間飛車, 居飛車, 振り飛車		1997年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0201-7.htm"",""必勝！鷺宮定跡"")"	S	四間飛車, 居飛車		1986年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0276/0276-30041-2270.htm"",""内藤シリーズ(1) 内藤の詰将棋 付 実戦即詰集 詰将棋と投了図の研究"")"	B			1973年	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0276/0276-351-6016.htm"",""オール二色図解詰将棋シリーズ 勝浦の詰将棋傑作選"")"	B			1977年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/08/4-08-875658-4.htm"",""急戦法まことスペシャル"")"	C			1998年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/415/4-415-02211-1.htm"",""ポケット版・将棋シリーズ(13) 実戦7手･9手の詰将棋 初段 寄せに強くなる120題にチャンレンジ！"")"			森下卓	2003年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/380/4-380-94205-8.htm"",""三一将棋シリーズ 次の一手でわかる 寄せの決め手"")"	C			1994年1月	
